City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
517,Beyneu,KZ,77.52,overcast clouds,45.32,55.2,
518,Yaan,NG,69.22,overcast clouds,7.38,8.57,
519,Mpraeso,GH,66.81,overcast clouds,6.59,-0.73,
520,Nishihara,JP,87.46,broken clouds,26.18,127.76,
521,Columbus,US,75.99,clear sky,39.96,-83.0,
522,Patiya,BD,77.22,light rain,22.29,91.98,
523,Sao Joao Da Barra,BR,69.67,clear sky,-21.64,-41.05,
525,Langenhagen,DE,64.78,clear sky,52.45,9.75,
526,Santa Isabel Do Rio Negro,BR,73.26,overcast clouds,-0.41,-65.02,
528,Fuglebjerg,DK,62.51,moderate rain,55.31,11.55,
529,Paita,PE,67.73,scattered clouds,-5.09,-81.11,
530,Fukue,JP,89.96,few clouds,32.69,128.84,
531,Canarana,BR,63.07,clear sky,-11.68,-41.77,
532,Xanlar,AZ,67.51,broken clouds,40.59,46.32,
533,Berck,FR,62.58,overcast clouds,50.4,1.6,
534,Sinnamary,GF,77.49,clear sky,5.38,-52.95,
538,Havelock,US,82.94,broken clouds,34.88,-76.9,
540,Saryg-Sep,RU,64.42,moderate rain,51.5,95.6,
541,Bandipur,NP,73.71,overcast clouds,27.93,84.42,
542,Teya,RU,62.08,overcast clouds,60.38,92.63,
543,Raudeberg,NO,61.47,overcast clouds,61.99,5.14,
545,Rupert,US,83.64,clear sky,42.62,-113.68,
546,Glodeni,MD,70.39,few clouds,47.77,27.51,
547,Camocim,BR,77.14,overcast clouds,-2.9,-40.84,
548,Ratnagiri,IN,80.89,overcast clouds,16.98,73.3,
549,Acapulco,MX,80.64,broken clouds,16.86,-99.89,
550,Voh,NC,77.74,clear sky,-20.97,164.7,
551,Yellandu,IN,79.36,overcast clouds,17.6,80.33,
552,Naziya,RU,67.48,overcast clouds,59.8,31.38,
553,Pedernales,DO,81.18,broken clouds,18.04,-71.74,
554,Petropavlovsk-Kamchatskiy,RU,81.19,few clouds,53.05,158.65,
555,Brownwood,US,87.57,overcast clouds,31.71,-98.99,
556,Ayan,RU,62.73,few clouds,56.45,138.17,
557,Padang,ID,84.02,overcast clouds,-0.95,100.35,
559,Nambour,AU,77.34,clear sky,-26.63,152.95,
561,Rio Tuba,PH,85.44,broken clouds,8.51,117.43,
562,Baculin,PH,89.2,scattered clouds,7.45,126.58,
