City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
162,Sayyan,YE,2021-07-27 00:49:05,15.1718,44.3244,62.78,66,99,2.3
163,Namibe,AO,2021-07-27 00:49:06,-15.1961,12.1522,64.72,83,0,1.77
164,Mezen,RU,2021-07-27 00:49:06,65.8522,44.24,46.54,82,100,13.18
165,Sao Pedro Do Sul,BR,2021-07-27 00:49:06,-29.6206,-54.1789,63.25,95,100,11.07
166,Iqaluit,CA,2021-07-27 00:46:43,63.7506,-68.5145,51.53,81,75,1.99
167,Samarai,PG,2021-07-27 00:49:07,-10.6167,150.6667,78.93,87,100,16.35
168,Tamiahua,MX,2021-07-27 00:49:07,21.2667,-97.45,80.65,78,0,7.72
169,Bonavista,CA,2021-07-27 00:49:08,48.6499,-53.1147,59.0,90,0,13.09
170,Aguimes,ES,2021-07-27 00:49:08,27.9054,-15.4461,68.67,83,75,19.57
171,Hilo,US,2021-07-27 00:44:29,19.7297,-155.09,78.53,89,90,9.22
172,Norman Wells,CA,2021-07-27 00:49:09,65.282,-126.8329,64.44,55,90,10.36
173,Pallasovka,RU,2021-07-27 00:49:09,50.05,46.8833,64.51,48,0,8.1
174,New Norfolk,AU,2021-07-27 00:49:10,-42.7826,147.0587,56.75,81,99,5.26
175,Betera,ES,2021-07-27 00:49:10,39.5833,-0.45,72.88,83,0,1.99
176,Kununurra,AU,2021-07-27 00:49:10,-15.7667,128.7333,78.78,61,75,4.61
177,Atambua,ID,2021-07-27 00:49:11,-9.1061,124.8925,80.85,48,50,0.67
178,Goderich,CA,2021-07-27 00:48:46,43.7501,-81.7165,75.52,69,0,2.3
179,Thompson,CA,2021-07-27 00:44:42,55.7435,-97.8558,69.96,37,40,8.05
180,Pemangkat,ID,2021-07-27 00:49:11,1.1667,108.9667,81.68,83,100,6.02
181,Aquiraz,BR,2021-07-27 00:49:12,-3.9014,-38.3911,80.69,84,2,11.23
182,Sistranda,NO,2021-07-27 00:49:12,63.7256,8.834,69.76,81,7,5.77
183,Guerrero Negro,MX,2021-07-27 00:46:15,27.9769,-114.0611,72.61,67,0,17.07
184,Yerbogachen,RU,2021-07-27 00:49:13,61.2767,108.0108,79.03,49,3,7.18
185,Neiafu,TO,2021-07-27 00:49:13,-18.65,-173.9833,81.28,74,75,2.3
186,Nouadhibou,MR,2021-07-27 00:44:31,20.931,-17.0347,70.39,84,6,24.74
187,Touros,BR,2021-07-27 00:49:14,-5.1989,-35.4608,74.3,86,15,9.57
188,Dwarka,IN,2021-07-27 00:49:14,22.2394,68.9678,82.31,84,100,24.07
189,Hasaki,JP,2021-07-27 00:49:14,35.7333,140.8333,75.49,80,64,15.57
190,Alyangula,AU,2021-07-27 00:49:15,-13.8483,136.4192,75.07,83,90,3.44
191,Shetpe,KZ,2021-07-27 00:49:15,44.1667,52.1167,73.94,35,88,19.93
192,Upernavik,GL,2021-07-27 00:49:16,72.7868,-56.1549,43.75,95,100,5.19
193,Winsum,NL,2021-07-27 00:49:16,53.33,6.5208,64.98,46,87,7.38
194,Lorengau,PG,2021-07-27 00:49:16,-2.0226,147.2712,83.25,75,96,3.04
195,Ipswich,GB,2021-07-27 00:48:31,52.0592,1.1555,64.13,93,75,6.91
196,Kahului,US,2021-07-27 00:49:17,20.8947,-156.47,85.26,77,40,29.93
