City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
247,Rocha,UY,-34.4833,-54.3333,45.34,80,99,16.75,overcast clouds
248,Bolobo,CD,-2.1667,16.2333,69.01,38,10,2.35,clear sky
249,Umea,SE,63.8284,20.2597,60.91,82,0,4.61,clear sky
250,Eyl,SO,7.9803,49.8164,78.57,58,100,20.56,overcast clouds
251,Goreloye,RU,52.937,41.5043,65.53,70,75,2.68,broken clouds
252,Nhulunbuy,AU,-12.2333,136.7667,81.21,69,75,12.66,broken clouds
253,Tanout,NE,14.9709,8.8879,79.29,67,97,14.76,overcast clouds
254,Gopalur,IN,16.6167,77.8,77.04,77,83,16.75,broken clouds
255,Honiara,SB,-9.4333,159.95,84.33,73,94,8.84,overcast clouds
256,Saint Anthony,US,45.0205,-93.218,85.84,76,1,1.01,clear sky
257,Tezu,IN,27.9167,96.1667,91.45,54,65,2.68,broken clouds
258,Papar,MY,5.7333,115.9333,89.6,61,88,6.69,overcast clouds
259,Shar,KZ,49.5886,81.0453,68.22,37,0,11.68,clear sky
260,Shelburne,CA,44.0787,-80.2041,64.27,70,1,5.59,clear sky
261,Upernavik,GL,72.7868,-56.1549,49.1,75,98,8.81,overcast clouds
262,Talcahuano,CL,-36.7167,-73.1167,46.08,66,0,16.11,clear sky
263,North Mankato,US,44.1733,-94.0339,85.14,95,20,5.75,few clouds
264,Yushan,CN,31.3776,120.9543,84.09,81,100,17.6,light rain
265,Visby,SE,57.6409,18.296,63.77,100,90,3.44,overcast clouds
266,Mogocha,RU,53.7333,119.7667,60.37,98,100,2.82,light rain
267,Havre-Saint-Pierre,CA,50.2334,-63.5986,56.21,92,65,5.19,broken clouds
268,Seminole,US,28.7086,-81.2081,79.38,92,1,4.61,clear sky
269,Marawi,PH,7.9986,124.2928,84.65,53,90,7.49,overcast clouds
270,Natitingou,BJ,10.3042,1.3796,69.96,97,100,5.19,light rain
271,Bonthe,SL,7.5264,-12.505,76.57,85,100,9.62,overcast clouds
272,High River,CA,50.5834,-113.8687,74.46,62,100,8.97,overcast clouds
273,Hobyo,SO,5.3505,48.5268,76.51,78,99,19.39,overcast clouds
274,Aquidauana,BR,-20.4711,-55.7872,59.07,43,96,7.81,overcast clouds
275,Rudnogorsk,RU,57.2639,103.7519,85.64,31,0,1.54,clear sky
276,Ampanihy,MG,-24.7,44.75,60.49,80,0,11.9,clear sky
277,Maxixe,MZ,-23.8597,35.3472,62.65,67,0,4.81,clear sky
278,Cabo San Lucas,MX,22.8909,-109.9124,87.1,74,7,8.01,clear sky
279,Sembakung,ID,3.8167,117.25,90.66,58,100,2.33,overcast clouds
280,Saint George,US,37.1041,-113.5841,93.63,31,1,5.01,clear sky
281,Uvalde,US,29.3669,-99.767,83.14,35,1,5.75,clear sky
282,Isla Mujeres,MX,21.2311,-86.731,82.45,82,14,12.21,few clouds
283,Lompoc,US,34.6391,-120.4579,71.56,84,90,9.22,mist
284,Libres,MX,19.4667,-97.6833,55.42,92,65,5.35,broken clouds
285,Dong Hoi,VN,17.4833,106.6,87.19,67,100,10.94,overcast clouds
286,Durant,US,33.994,-96.3708,81.41,69,1,3.44,clear sky
287,Iwanai,JP,42.9744,140.5089,89.49,50,9,1.66,clear sky
288,Aklavik,CA,68.2191,-135.0107,61.52,66,99,5.53,light rain
